DataHora ; Protocolo ; IP_Origem ; Porta_Origem ; IP_Destino ; Porta_Destino ; Tamanho
DataHora ; Protocolo ; IP_Origem ; Porta_Origem ; IP_Destino ; Porta_Destino ; Tamanho
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 94
2025-06-18 18:51:17 ; TCP ; 1.1.1.1 ; 80 ; 172.31.66.101 ; 44894 ; 48
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 74
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 145
2025-06-18 18:51:17 ; TCP ; 1.1.1.1 ; 80 ; 172.31.66.101 ; 44894 ; 40
2025-06-18 18:51:17 ; TCP ; 1.1.1.1 ; 80 ; 172.31.66.101 ; 44894 ; 426
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 74
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 74
2025-06-18 18:51:17 ; TCP ; 1.1.1.1 ; 80 ; 172.31.66.101 ; 44894 ; 40
2025-06-18 18:51:17 ; TCP ; 1.1.1.1 ; 80 ; 172.31.66.101 ; 44894 ; 40
2025-06-18 18:51:17 ; TCP ; 172.31.66.101 ; 44894 ; 1.1.1.1 ; 80 ; 74
2025-06-18 18:52:04 ; UDP ; 172.31.66.101 ; 53028 ; 8.8.8.8 ; 5000 ; 63
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 38595 ; 172.31.66.1 ; 5001 ; 1502
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 12337 ; 172.31.66.1 ; 12851 ; 84
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 38595 ; 172.31.66.1 ; 5001 ; 1502
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 12337 ; 172.31.66.1 ; 12851 ; 84
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 38595 ; 172.31.66.1 ; 5001 ; 1502
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 12337 ; 172.31.66.1 ; 12851 ; 84
2025-06-18 18:52:46 ; UDP ; 172.31.66.101 ; 38595 ; 172.31.66.1 ; 5001 ; 1502
